group,P
AGAP4,0.823544471590157
AGAP5,0.243700701279028
AGAP6,0.159304736345853
AGAP7P,0.734600772489796
AGAP9,0.749363348822703
AGBL1,0.0970676214160573
AGBL1-AS1,0.483478064915122
AGBL3,0.838222345914272
AGBL4,0.368015810836961
AGBL4-AS1,0.127978080368728
AGBL4-IT1,0.772750305268772
AGBL5,0.0235880221193378
AGBL5-AS1,0.0783850346765229
AGFG1,0.888661041393677
AGFG2,0.428603713768655
AGGF1,0.00487148864183812
AGL,0.55978208277913
AGMAT,0.616562231189946
AGMO,0.250197825539082
AGO1,0.34304891480914
AGO2,0.469142667427827
AGO3,0.484682506016147
AGO4,0.723465667684086
AGPAT2,0.731852226100239
AGPAT3,0.213545213585167
AGPAT4,0.886163801674585
AGPAT4-IT1,0.717307087755317
AGPAT5,0.305192434795867
AGPS,0.25094153823064
AGR2,0.290596894102547
AGR3,0.832386532109672
AGRN,0.0779174601632831
AGRP,0.00257075152424175
AGT,0.309701797499932
AGTPBP1,0.708847431287442
AGTR1,0.329245142160149
AGTR2,0.197157511577007
AGTRAP,0.0824111864364315
AGXT,0.481207044759417
AGXT2,0.0226680788779596
AHCTF1,0.224785872488407
AHCTF1P1,0.966833246854376
AHCY,0.774039607711207
AHCYL1,0.0997884379917529
AHCYL2,0.56773775423566
AHDC1,0.734457101440009
AHI1,0.473711855715812
AHNAK,0.215799202614695
AHNAK2,0.0718307328994673
AHR,0.203602496485947
AHRR,0.588132667214383
AHSA1,0.921934781204163
AHSA2P,0.57883742612355
AHSG,0.404102542597374
AHSP,0.367271270941133
AICDA,0.685098951460196
AIDA,0.601572610899549
AIF1L,0.715474693748513
AIFM1,0.0728850918056008
AIFM2,0.647150436851262
AIFM3,0.873219025452413
AIG1,0.0853346137593303
AIM2,0.271069701398034
AIMP1,0.367154547493574
AIMP2,0.656725949177971
AIP,0.4586277870072
AIPL1,0.418804080903142
AIRE,0.482171131126189
AIRN,0.212595225154506
AJAP1,0.242358855838406
AJM1,0.624082073945093
AJUBA,0.401306703446786
AK1,0.189883791369454
AK2,0.721916020054027
AK3,0.408610052892221
AK4,0.878873389289897
AK5,0.297863006437384
AK7,0.648718724963393
AK8,0.351204109261512
AK9,0.221367653020613
AKAIN1,0.332259749364659
AKAP1,0.830604891989732
AKAP10,0.482072680534052
AKAP11,0.639098042205072
AKAP12,0.443534555394319
AKAP13,0.294279690936852
AKAP14,0.778574569006504
AKAP17A,0.838265164511532
AKAP3,0.53100828170959
AKAP4,0.318025671086848
AKAP5,0.279558848390815
AKAP6,0.126712168085814
AKAP7,0.987442867708536
AKAP8,0.921419492615505
AKAP8L,0.964568046359846
AKAP9,0.468945326192924
AKIP1,0.861179652982502
AKIRIN1,0.961280645343071
AKIRIN2,0.836099012779074
AKNA,0.844800763336062
AKNAD1,0.200558530295534
AKR1A1,0.593384963471625
AKR1B1,0.54197127972465
AKR1B10,0.122162590899966
AKR1B15,0.29201963177345
AKR1C1,0.453715399719977
AKR1C2,0.213136467560313
AKR1C3,0.125000059994682
AKR1C4,0.0567170166011094
AKR1C6P,0.566404327383711
AKR1C8P,0.0666152388940236
AKR1D1,0.174482396187404
AKR1E2,0.866027664934665
AKR7A2,0.773015567086245
AKR7A2P1,0.788854924065708
AKR7A3,0.787611786887078
AKR7L,0.815896771470004
AKT1,0.036241036942125
AKT1S1,0.359707538551049
AKT2,0.479476315368985
AKT3,0.832009796265171
AKTIP,0.651548960616491
ALAD,0.6527035762174
ALAS1,0.941522861947639
ALAS2,0.238915272116855
ALB,0.431818081438549
ALCAM,0.956546738051903
ALDH16A1,0.692444265148908
ALDH18A1,0.0933705067735168
ALDH1A1,0.131786213047575
ALDH1A2,0.608427661475289
ALDH1A3,0.146656051444158
ALDH1B1,0.0626294869146563
ALDH1L1,0.238738845577577
ALDH1L1-AS1,0.0312967754448367
ALDH1L1-AS2,0.422961622711446
ALDH1L2,0.295803980478491
ALDH2,0.904456299667841
ALDH3A1,0.748421611670427
ALDH3A2,0.930975427956601
ALDH3B1,0.932732238882203
ALDH3B2,0.141797692553846
ALDH4A1,0.606829880703462
ALDH5A1,0.19352165264286
ALDH6A1,0.509972052141687
ALDH7A1,0.124706136026712
ALDH8A1,0.579301909177689
ALDH9A1,0.761018540514783
ALDOA,0.332420988864282
ALDOB,0.667899759994304
ALDOC,0.192621180762994
ALG1,0.34734020228394
ALG10,0.522751575964456
ALG10B,0.890850406751365
ALG11,0.556243616285621
ALG12,0.6983865754339
ALG13,0.974157248867372
ALG14,0.651069327015568
ALG14-AS1,0.894732862371595
ALG1L,0.893396887183409
ALG1L2,0.481530904061778
ALG1L9P,0.438440210634992
ALG2,0.936552342060996
ALG3,0.441557813084989
ALG5,0.396465480308746
ALG6,0.769871762935719
ALG8,0.298316056868206
ALG9,0.140933311731609
ALK,0.224274491115175
ALKAL1,0.152603333304742
ALKAL2,0.800463640296349
ALKBH1,0.871564174077337
ALKBH2,0.422221243806517
ALKBH3,0.525077412698606
ALKBH3-AS1,0.650858265678945
ALKBH4,0.795883515364415
ALKBH5,0.208294728859084
ALKBH6,0.00239156155585385
ALKBH7,0.240688713172893
ALKBH8,0.193009604940344
ALLC,0.933423689309478
ALMS1,0.740894583677006
ALMS1-IT1,0.847524315892533
ALMS1P1,0.592674141399722
ALOX12,0.252177191244312
ALOX12-AS1,0.23859593697276
ALOX12B,0.461305615093499
ALOX12P2,0.463026055881436
ALOX15,0.400795890721337
ALOX15B,0.649027182040624
ALOX15P1,0.00460033249342187
ALOX5,0.838211105159542
ALOX5AP,0.162256653111633
ALOXE3,0.123391239935833
ALPG,0.655796968293404
ALPI,0.750403826552443
ALPK1,0.94214568008912
ALPK2,0.545985816693655
ALPK3,0.710048530579491
ALPL,0.208594116448159
ALPP,0.660695744739264
ALS2,0.0705374882313197
ALS2CL,0.940671357915504
ALX1,0.267592847104079
ALX3,0.0717236091284483
ALX4,0.886494699128265
ALYREF,0.408944212157963
AMACR,0.145910904348352
AMBN,0.940644432459715
AMBP,0.721393602595945
AMBRA1,0.905523422165544
AMD1,0.878184256247485
AMDHD1,0.584245964022098
AMDHD2,0.212107620660496
AMELX,0.876162568765089
AMER1,0.09213838187951
AMER2,0.0667880054544176
AMER3,0.0980193621712179
AMFR,0.629911855861441
AMH,0.872184105059333
AMHR2,0.0889983647047676
AMIGO1,0.93508516006073
AMIGO2,0.923696247897766
AMIGO3,0.302065631830485
AMMECR1,0.22769443855607
AMMECR1L,0.385049903230667
AMN,0.348977005939257
AMN1,0.156038970008531
AMOT,0.405654667683281
AMOTL1,0.0347264074018603
AMOTL2,0.461758221878589
AMPD1,0.857182620557463
AMPD2,0.907031024856748
AMPD3,0.722651306619249
AMPH,0.875456235753342
AMT,0.31087398483909
AMTN,0.807803541992792
AMY1A,0.471765214731505
AMY1B,0.810253666930477
AMY1C,0.471765214731505
AMY2A,0.495278472298256
AMY2B,0.271189721027181
AMZ1,0.434219526786292
AMZ2,0.69831312422941
AMZ2P1,0.506011812679609
ANAPC1,0.640910724947935
ANAPC10,0.977769986400022
ANAPC11,0.660185947176252
ANAPC13,0.606093200715937
ANAPC15,0.102817290625462
ANAPC16,0.0642942389349027
ANAPC1P1,0.529743764415167
ANAPC2,0.424458221233207
ANAPC4,0.0839465058962572
ANAPC5,0.681001206430676
ANAPC7,0.886751733643463
ANG,0.361716980598518
ANGEL1,0.737789863630457
ANGEL2,0.542756111606862
ANGPT1,0.122034089728257
ANGPT2,0.202302727793613
ANGPT4,0.290644914856307
ANGPTL1,0.437581806687649
ANGPTL2,0.893675157978828
ANGPTL3,0.194609191483525
ANGPTL4,0.486775262799165
ANGPTL5,0.747365758066316
ANGPTL6,0.356419709100257
ANGPTL7,0.462723802611335
ANGPTL8,0.780245351649622
ANHX,0.0939064107154181
ANK1,0.646779954910104
ANK2,0.210890286167698
ANK3,0.639406489522578
ANKAR,0.118938003942826
ANKDD1A,0.760839633053722
ANKDD1B,0.33885331887847
ANKEF1,0.468355019264132
ANKFN1,0.811240753885221
ANKFY1,0.744616178622285
ANKH,0.272814275099338
ANKHD1,0.153375567296479
ANKHD1-EIF4EBP3,0.202564248953445
ANKIB1,0.194307992127583
ANKK1,0.505304295483433
ANKLE1,0.721369090659737
ANKLE2,0.855287042448693
ANKMY1,0.181945028391914
ANKMY2,0.995915670865953
ANKRA2,0.50307689023153
ANKRD1,0.114390356964801
ANKRD10,0.175163399202692
ANKRD11,0.680760052240155
ANKRD12,0.717250393889887
ANKRD13A,0.115304168287717
ANKRD13B,0.319461370217692
ANKRD13C,0.955817231585933
ANKRD13D,0.554641627302008
ANKRD16,0.524054255511778
ANKRD17,0.779330803584204
ANKRD18A,0.914535943099379
ANKRD18B,0.992768417861378
ANKRD18CP,0.714522272943603
ANKRD18DP,0.321751770092261
ANKRD19P,0.693673062186051
ANKRD2,0.15354936469989
ANKRD20A1,0.556271826006794
